	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch21.jpg	ch22.jpg	ch23.jpg	ch24.jpg	ch25.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc21.jpg	cc22.jpg	cc23.jpg	cc24.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa21.jpg	pa22.jpg	pa23.jpg	pa24.jpg
GgT_glcm_entrop	5.85471	5.85006	6.30642	6.19937	6.44271	6.36675	5.91059	6.19116	5.8609	6.12835	6.59235	6.42147	6.38643	6.3273	6.65897	6.51671	6.55719	6.54307	5.9219	5.65025	6.55622	6.38914	6.49247	5.72491	6.22215	6.18042
GgT_glcm_homo	0.497508	0.42192	0.382834	0.410192	0.344196	0.378073	0.42553	0.412953	0.446586	0.411077	0.355325	0.396233	0.3993	0.432915	0.346718	0.345772	0.365295	0.37163	0.529848	0.538745	0.363873	0.388506	0.367835	0.508078	0.444534	0.450949
GgT_glcm_sum_of_sqs	1831.76	1747.35	1770.17	1788.24	1677.94	1598.05	2179.45	1606.15	1487.79	1744.11	1889.25	2105.58	2109.18	1980.91	1686.7	1874.77	1678.31	1739.14	1633.99	1952.35	1350.58	1193.42	1759.05	895.461	1567.58	1505.56
GgT_glcm_sum_avg	81.7129	81.3336	80.195	80.3693	78.1127	76.0307	91.1483	76.2759	74.6968	80.1738	81.4213	86.4844	86.6973	84.3076	76.1378	82.5257	76.5249	77.6712	75.3184	81.1914	67.3294	63.4246	78.9122	54.7909	72.6028	71.6327
GgT_glcm_sum_var	6620.25	6317.59	6368.23	6442.9	6012.48	5710.09	7949.67	5749.05	5321.9	6280.28	6802.03	7632.25	7646.83	7154.78	6033.85	6749.58	6004.83	6238.18	5867.18	7123.64	4779.66	4197.06	6316.07	3118.52	5613.29	5375.78
GgT_glcm_sum_entrop	4.40554	4.18737	4.49515	4.47804	4.5187	4.54858	4.26884	4.50535	4.29098	4.39662	4.67857	4.61255	4.60586	4.62737	4.7306	4.57902	4.68906	4.6797	4.5338	4.29132	4.69745	4.64047	4.60286	4.35288	4.6097	4.60589
GgT_glcm_diff_var	6.28332	8.26689	11.7611	10.4011	13.8381	11.2033	8.23035	8.6325	6.68545	10.5676	15.0603	13.5909	12.5485	10.1	15.0641	14.7656	12.8179	13.4152	6.44665	7.40404	12.2399	9.57566	14.9327	5.32496	8.97411	7.89939
GgT_glcm_diff_entrop	1.69271	1.82689	2.01319	1.95611	2.07445	1.97945	1.82256	1.87118	1.74121	1.92973	2.10579	2.04002	2.00915	1.91146	2.11053	2.10378	2.03565	2.05952	1.68046	1.74487	2.01874	1.91345	2.09641	1.63531	1.8705	1.82319
GgT_glcm_inform_meas1	-0.434359	-0.334954	-0.350834	-0.37347	-0.32235	-0.354242	-0.354799	-0.383966	-0.376528	-0.354111	-0.350075	-0.367385	-0.37348	-0.396037	-0.354408	-0.329327	-0.362431	-0.362533	-0.46956	-0.470933	-0.366226	-0.384241	-0.347396	-0.439037	-0.418411	-0.424805
GgT_glcm__inform_meas2	0.979505	0.948925	0.963593	0.969213	0.954867	0.965539	0.9584	0.971896	0.964782	0.961833	0.967421	0.970458	0.971605	0.976676	0.969734	0.958987	0.970738	0.970655	0.98611	0.983909	0.971767	0.974494	0.965206	0.978817	0.98033	0.981131
GgT_Gabor_energ_s_0.01_theta_0	8.89743e+006	9.20565e+006	1.04192e+007	9.74839e+006	9.039e+006	9.79669e+006	1.14524e+007	8.42534e+006	8.11817e+006	9.41668e+006	9.79293e+006	1.11413e+007	1.06258e+007	1.06744e+007	8.44268e+006	9.2516e+006	8.23824e+006	7.47656e+006	7.55844e+006	9.81776e+006	6.37257e+006	6.48507e+006	8.63871e+006	4.40332e+006	7.84964e+006	7.64511e+006
GgT_Gabor_entrop_s_0.01_theta_0	0.925716	0.921508	0.927453	0.926789	0.920844	0.927626	0.921716	0.93166	0.922965	0.92128	0.926993	0.926291	0.922405	0.921215	0.922992	0.918875	0.923937	0.918529	0.92487	0.929554	0.919805	0.925121	0.920183	0.921043	0.929324	0.922408
GgT_Gabor_energ_s_0.01_theta_0.7854	864544	442971	1.12213e+006	1.30782e+006	772074	1.31239e+006	887139	708245	448875	764619	781943	814081	928081	856397	855341	917924	738914	1.17602e+006	876518	3.62629e+006	709755	686369	942162	1.53561e+006	1.68502e+006	1.32723e+006
