	ch11.jpg	ch12.jpg	ch13.jpg	ch14.jpg	ch15.jpg	ch41.jpg	ch42.jpg	ch43.jpg	ch44.jpg	ch45.jpg	ch46.jpg	cc11.jpg	cc12.jpg	cc13.jpg	cc14.jpg	cc41.jpg	cc42.jpg	cc43.jpg	cc44.jpg	pa11.jpg	pa12.jpg	pa13.jpg	pa14.jpg	pa41.jpg	pa42.jpg	pa43.jpg	pa44.jpg
GcT_Gabor_entrop_s_0.04_theta_2.3562	0.920948	0.930298	0.934095	0.928169	0.936287	0.935794	0.928371	0.926637	0.925383	0.933189	0.930633	0.935506	0.937944	0.936911	0.936732	0.926186	0.930861	0.934899	0.927747	0.922225	0.92469	0.936873	0.935276	0.930076	0.93012	0.926265	0.923345
GcT_Gabor_energ_s_0.09_theta_0	188311	311114	285510	243460	327352	308734	241012	216657	176103	260054	274109	284112	253800	308038	229369	241781	251518	243654	286027	219000	207006	277161	273945	267639	283357	262666	213247
GcT_Gabor_entrop_s_0.09_theta_0	0.911227	0.915872	0.915206	0.912883	0.919004	0.916487	0.912836	0.907918	0.911104	0.912915	0.912182	0.910514	0.914969	0.916277	0.907333	0.906156	0.912049	0.908057	0.911694	0.907032	0.909422	0.916146	0.91357	0.922929	0.918157	0.91076	0.906708
GcT_Gabor_energ_s_0.09_theta_0.7854	111071	156588	170310	166006	208452	174723	155417	149225	108546	184007	192219	210397	155227	186605	125190	156627	165810	133671	128471	114222	116023	228961	160194	185746	196917	158849	130993
GcT_Gabor_entrop_s_0.09_theta_0.7854	0.914181	0.92576	0.921669	0.910982	0.924415	0.923354	0.918855	0.903609	0.91032	0.921531	0.916888	0.928152	0.926657	0.926522	0.921024	0.907374	0.917472	0.917573	0.912022	0.911886	0.920878	0.924747	0.925235	0.918505	0.917126	0.911978	0.911926
GcT_Gabor_energ_s_0.09_theta_1.5708	228972	283660	250483	237209	330986	280375	272561	228741	226699	270276	290466	339716	279077	233820	251866	263597	255838	265893	226069	212604	212103	276218	272014	251138	249509	290174	237770
GcT_Gabor_entrop_s_0.09_theta_1.5708	0.89103	0.915149	0.912711	0.909013	0.921484	0.914983	0.91194	0.905848	0.902341	0.918097	0.912287	0.921138	0.912174	0.915098	0.91356	0.907274	0.912467	0.911005	0.906143	0.892792	0.911079	0.918464	0.913869	0.91295	0.919413	0.913762	0.905088
GcT_Gabor_energ_s_0.09_theta_2.3562	92599.6	267796	166109	135643	296401	201192	180415	110655	100083	172819	178935	199209	186133	147524	168764	136737	170605	191758	196131	121378	101341	166482	197914	157273	175630	201450	129448
GcT_Gabor_entrop_s_0.09_theta_2.3562	0.910162	0.917968	0.91969	0.916468	0.92531	0.921519	0.915834	0.90941	0.916906	0.921131	0.914375	0.923925	0.928418	0.926473	0.92132	0.911629	0.915601	0.917477	0.914134	0.907735	0.921776	0.923494	0.923878	0.92457	0.922424	0.913478	0.912258
GcT_Gabor_energ_s_0.18_theta_0	7515.62	13004	9027.27	8172.88	9420.1	10303.8	8018.21	7943.72	7193.79	9082.13	10324.5	9273.3	8004.96	8509.78	7523.04	8491	9078.81	8567.66	9880.95	7791.52	7457.06	8789.53	8328.96	9989.37	10461.6	9006.48	7919.36
GcT_Gabor_entrop_s_0.18_theta_0	0.918365	0.9149	0.915187	0.912117	0.911293	0.909637	0.910213	0.909761	0.913779	0.910238	0.909564	0.905075	0.909761	0.907745	0.90573	0.910123	0.909107	0.905237	0.910128	0.907836	0.908322	0.908405	0.905136	0.923247	0.91448	0.909881	0.909327
GcT_Gabor_energ_s_0.18_theta_0.7854	3204.19	6143.35	3813.53	3311.43	4396.31	4597.4	3696.2	3514.31	2979.62	4420.38	6107.24	4262.38	2980.62	3284.47	2447.48	4027.34	4350.71	3289.53	3661.06	2651.22	2410.48	5097.13	3495.06	5530.22	6036.56	4546.93	3308.16
GcT_Gabor_entrop_s_0.18_theta_0.7854	0.913153	0.921526	0.923784	0.920278	0.914376	0.907424	0.908547	0.905497	0.908113	0.90964	0.904498	0.918372	0.913773	0.918472	0.912081	0.901791	0.910773	0.911562	0.907637	0.905752	0.925806	0.907436	0.916824	0.907152	0.904547	0.900369	0.912185
GcT_Gabor_energ_s_0.18_theta_1.5708	8776.99	12374.4	8555.35	8019.65	9667.15	9552.49	8716.5	8256.63	8216.26	9428.33	11412.1	9701.53	8685.17	7783.01	7753.17	9392.62	9078.19	9071.67	8861.12	7997.29	7655.13	8932.83	8642.8	9425.95	9305.02	10090.6	8654.8
GcT_Gabor_entrop_s_0.18_theta_1.5708	0.89587	0.916359	0.912443	0.909247	0.913572	0.909979	0.909233	0.908282	0.908555	0.914017	0.913848	0.91746	0.902966	0.912843	0.910614	0.906103	0.909321	0.906865	0.907455	0.89346	0.910292	0.909158	0.906357	0.912839	0.916835	0.908799	0.905272
GcT_Gabor_energ_s_0.18_theta_2.3562	2791.72	8946.41	3727.06	2939.13	5669.19	5031.93	3947.86	2757.39	2844.82	4426	6068.85	4085.04	3337.9	2789.41	2888.4	3720.96	4304.08	4469.3	5213.92	2794.71	2211.57	3848.09	4386.15	4720.33	5000.6	5264.33	3234.11
GcT_Gabor_entrop_s_0.18_theta_2.3562	0.914463	0.911709	0.922684	0.925187	0.9117	0.905315	0.902732	0.911369	0.911352	0.907422	0.902969	0.916234	0.914861	0.919362	0.912225	0.906009	0.908495	0.909814	0.906627	0.902887	0.92834	0.909419	0.911374	0.912961	0.912169	0.896514	0.913018
GcT_Gabor_energ_s_0.35_theta_0	121.483	234.236	126.906	117.913	150.176	160.009	137.036	126.454	115.758	154.792	179.115	145.789	130.285	137.27	130.992	133.294	139.574	137.369	161.79	142.503	119.357	144.844	133.303	143.176	182.582	154.406	135.579
GcT_Gabor_entrop_s_0.35_theta_0	0.712822	0.78236	0.697667	0.673096	0.721767	0.729904	0.70163	0.681252	0.685948	0.718777	0.74394	0.673533	0.677043	0.677134	0.662118	0.709295	0.699781	0.688082	0.727959	0.70033	0.653211	0.711323	0.691492	0.755061	0.759419	0.740233	0.685787
GcT_Gabor_energ_s_0.35_theta_0.7854	54.7694	104.112	45.8494	41.7678	62.0484	70.0869	59.8669	51.311	52.0048	68.6276	93.1894	47.6224	44.6624	45.7033	40.7744	60.7621	54.6631	49.0683	64.6683	55.4905	41.5908	68.8324	45.8814	78.8741	97.4867	72.791	57.5928
GcT_Gabor_entrop_s_0.35_theta_0.7854	0.903921	0.910956	0.933511	0.936493	0.901678	0.891504	0.890239	0.907561	0.905116	0.900263	0.888512	0.933265	0.921017	0.925351	0.920491	0.896547	0.918692	0.917925	0.896764	0.897611	0.928729	0.890783	0.926152	0.898911	0.889049	0.886523	0.902409
GcT_Gabor_energ_s_0.35_theta_1.5708	165.88	215.256	122.136	120.082	152.152	158.983	143.49	129.121	130.887	155.291	180.692	124.92	148.834	117.756	124.085	145.577	136.077	140.565	151.701	157.624	119.11	142.889	132.513	153.277	159.45	170.801	150.513
GcT_Gabor_entrop_s_0.35_theta_1.5708	0.685018	0.783371	0.678082	0.661753	0.725653	0.723178	0.712707	0.685094	0.699527	0.734722	0.761692	0.712339	0.669416	0.668552	0.670123	0.7108	0.702208	0.69624	0.70885	0.671139	0.656246	0.714763	0.692793	0.716419	0.755205	0.746995	0.688891
GcT_Gabor_energ_s_0.35_theta_2.3562	50.9995	136.731	45.0533	38.9099	69.7343	73.6966	63.4536	45.0665	49.4834	70.1864	93.8012	46.7386	46.6095	42.4485	42.883	56.4343	54.3825	56.1476	78.5477	57.5403	39.6848	56.3454	51.7096	68.2261	86.725	80.2951	56.0871
